SMILES: C=C[C@]1(C)CC[C@@H](C(=C)C)C[C@H]1C(=C)C, logP: 5.0, SAScore: 8.0, MolWeight: 9.0
SMILES: C[S+]([O-])CCCCN=C=[N-], logP: -1.0, SAScore: 6.0, MolWeight: 1.0
SMILES: C=CC(C)=CC, logP: 6.0, SAScore: 7.0, MolWeight: 9.0
SMILES: CC(N)=O, logP: 0.0, SAScore: 2.0, MolWeight: 5.0
SMILES: C[As](=O)(O)O, logP: -2.0, SAScore: 9.0, MolWeight: 2.0
SMILES: C[As](C)(=O)O, logP: -2.0, SAScore: 7.0, MolWeight: 2.0
SMILES: C[S+]([O-])CCC(O)C(N)=O, logP: -1.0, SAScore: 6.0, MolWeight: 9.0
SMILES: C[S+]([O-])CCCCN=C=O, logP: 0.0, SAScore: 6.0, MolWeight: 4.0
SMILES: C=CC=CC(=C)C, logP: 3.0, SAScore: 3.0, MolWeight: 5.0
SMILES: C[As](=O)(O)O, logP: -2.0, SAScore: 6.0, MolWeight: 5.0
SMILES: C=CC=CC=O, logP: 2.0, SAScore: 4.0, MolWeight: 6.0
SMILES: C=CCCCCCCCCC, logP: 6.0, SAScore: 2.0, MolWeight: 4.0
SMILES: CC(C)=CCCC(C)C(=O)C=CC(C)C, logP: 5.0, SAScore: 4.0, MolWeight: 1.0
SMILES: C=C1CC2C=CC1C2, logP: 3.0, SAScore: 8.0, MolWeight: 4.0
SMILES: C#N, logP: 0.0, SAScore: 5.0, MolWeight: 8.0
SMILES: C[As](C)(=O)O, logP: -2.0, SAScore: 9.0, MolWeight: 3.0
SMILES: C[S+]([O-])CCCCN=C=S, logP: 2.0, SAScore: 6.0, MolWeight: 5.0
SMILES: C=CC(C)=CCC(C)(OC(C)=O)OC(=O)C(=C)C, logP: 5.0, SAScore: 7.0, MolWeight: 3.0
SMILES: C=CC#N, logP: 2.0, SAScore: 5.0, MolWeight: 5.0
SMILES: C=CCO, logP: 1.0, SAScore: 3.0, MolWeight: 4.0
