SMILES: C/C=C(\C)C(=O)O[C@@H]1C2=CC(OC)=C(OC)C(=O)C23COc2c4c(cc(c23)[C@@H](OC(=O)c2ccccc2)[C@H](C)[C@]1(C)O)OCO4, logP: 5.0, SAScore: 8.0, MolWeight: N/A
SMILES: C[C@H](NC(=O)[C@@H]1CCCN1C(=O)[C@H](CCCNC(=N)N)NC(=O)[C@H](CC(N)=O)NC(=O)[C@@H]1Cc2c([nH]c3ccccc23)[C@@H](c2ccccc2O)N1)C(=O)N[C@@H](CCCCN)C(=O)O, logP: -1.0, SAScore: 6.0, MolWeight: N/A
SMILES: COC(=O)C(C)NP1(=S)Oc2ccccc2CN1c1ccc(N2Cc3ccccc3OP2(=S)NC(C)C(=O)OC)cc1, logP: 6.0, SAScore: 7.0, MolWeight: N/A
SMILES: COC(=O)CCC(=O)OC, logP: 0.0, SAScore: 2.0, MolWeight: N/A
SMILES: CC[C@H](C)[C@H](NC(=O)[C@H](C)NC(=O)[C@@H]1CCCN1C(=O)[C@@H](NC(=O)[C@@H](N)Cc1ccccc1)C(C)C)C(=O)N[C@@H](CC(C)C)C(=O)N[C@@H](CS)C(=O)N[C@@H](CO)C(=O)N[C@H](C(=O)N[C@@H](CC(C)C)C(=O)N[C@@H](CCCCN)C(=O)N[C@H](C(=O)N[C@@H](CS)C(=O)O)[C@@H](C)O)[C@@H](C)CC, logP: -2.0, SAScore: 9.0, MolWeight: N/A
SMILES: C[C@H](NC(=O)[C@@H]1CCCN1C(=O)[C@H](CCCNC(=N)N)NC(=O)[C@H](CC(N)=O)NC(=O)[C@@H]1Cc2c([nH]c3ccccc23)[C@@H](c2ccccc2O)N1)C(=O)N[C@@H](CCCCN)C(=O)O, logP: -2.0, SAScore: 7.0, MolWeight: N/A
SMILES: COc1cc(O[C@@H]2O[C@H](CO[C@@H]3O[C@H](CO)[C@@H](O)[C@H](O)[C@H]3O)[C@@H](O)[C@H](O)[C@H]2O)c(OC)c(O)c1C(=O)CCc1ccccc1, logP: -1.0, SAScore: 6.0, MolWeight: N/A
SMILES: COC(=O)[C@]12C[C@@H](O)[C@@H](O)[C@H](O1)[C@@H](CO)O2, logP: 0.0, SAScore: 6.0, MolWeight: N/A
SMILES: COC(=O)[C@H](CSCc1ccccc1)NC(=O)/C(=C/c1cc(C)c(O)c(C)c1)C(C)=O, logP: 3.0, SAScore: 3.0, MolWeight: N/A
SMILES: C=C[C@H]1[C@H](O[C@@H]2O[C@H](CO)[C@@H](O)[C@H](O)[C@H]2O)OC=C(C(=O)[O-])[C@H]1/C=C/c1cc(C(=O)[O-])c[n+](CC)c1, logP: -2.0, SAScore: 6.0, MolWeight: N/A
SMILES: COC(=O)CC(=O)OCc1cc(O)cc(C)c1OC(=O)C[C@@H](C)O, logP: 2.0, SAScore: 4.0, MolWeight: N/A
SMILES: Cc1cc(C(C)(C)C)c(O)c(C(C)(C)C)c1, logP: 6.0, SAScore: 2.0, MolWeight: N/A
SMILES: C/C(=C/CC/C(C)=C/CC/C(C)=C/C(=O)C/C(C)=C/Cc1cc(O)cc(C)c1O)CO, logP: 6.0, SAScore: 3.0, MolWeight: N/A
SMILES: C/C(=C/C(=O)C/C(C)=C/Cc1cc(O)cc(C)c1O)CCCC(C)C(=O)/C=C/C(C)(C)O, logP: 5.0, SAScore: 4.0, MolWeight: N/A
SMILES: CC1(C)O[C@H]2[C@H](O)C[C@@]3(C[C@H]2O1)OC(C)(C)OC3=O, logP: 3.0, SAScore: 8.0, MolWeight: N/A
SMILES: COC(=O)[C@]1(O)C[C@@H](O)[C@@H](O)[C@H](OC(=O)/C=C/c2ccc(O)c(O)c2)C1, logP: 0.0, SAScore: 5.0, MolWeight: N/A
SMILES: C[C@H](NC(=O)[C@@H]1CCCN1C(=O)[C@H](CCCNC(=N)N)NC(=O)[C@H](CC(N)=O)NC(=O)[C@@H]1Cc2c([nH]c3ccccc23)[C@@H](c2ccccc2O)N1)C(=O)N[C@@H](CCCCN)C(=O)O, logP: -2.0, SAScore: 9.0, MolWeight: N/A
SMILES: CCC(C)C(=O)O[C@@H]1C[Se][Se]C[C@H]1O, logP: 2.0, SAScore: 6.0, MolWeight: N/A
SMILES: C/C=C(\C)C(=O)O[C@@H]1c2cc3c(c4c2C2(CO4)C(=O)C(OC)=C(OC)C=C2[C@@H](OC(=O)c2ccccc2)[C@@](C)(O)[C@H]1C)OCO3, logP: 5.0, SAScore: 7.0, MolWeight: N/A
SMILES: COC(=O)[C@H](CS)NC(=O)/C=C/c1cc(C)c(O)c(C)c1, logP: 1.0, SAScore: 3.0, MolWeight: N/A
