SMILES: Cc1c(C)c2c(c(C)c1O)CCC(C)(C(=O)NCCS)O2, logP: 2.0, SAScore: 4.0, MolWeight: N/A
SMILES: Cc1cc(O)cc(O)c1C(=O)O, logP: 2.0, SAScore: 2.0, MolWeight: N/A
SMILES: COc1cc(CCCO)ccc1O[C@H](CO)[C@@H](O)c1ccc(O)cc1, logP: 2.0, SAScore: 3.0, MolWeight: N/A
SMILES: CCc1ccc2[nH]c3c(c2c1)CCNC3c1cc(C)c(O)c(O)c1, logP: 4.0, SAScore: 3.0, MolWeight: N/A
SMILES: Cc1cc(C(C)(C)C)c(O)c(C(C)(C)C)c1, logP: 6.0, SAScore: 2.0, MolWeight: N/A
SMILES: CC(=O)c1c(C)oc2c(C)c3oc(=O)cc(C)c3cc12, logP: 2.0, SAScore: 3.0, MolWeight: N/A
SMILES: CCO[C@@H](c1ccc(O)c(OC)c1)[C@@H](CO)Oc1c(OC)cc([C@@H]2CC(=O)c3c(O)cc(O)cc3O2)cc1OC, logP: 4.0, SAScore: 4.0, MolWeight: N/A
SMILES: C/C(=C/CC/C(C)=C/CC/C(C)=C/C(=O)C/C(C)=C/Cc1cc(O)cc(C)c1O)CO, logP: 6.0, SAScore: 3.0, MolWeight: N/A
SMILES: COC(=O)[C@H](CS)NC(=O)/C=C/c1cc(C(C)(C)C)c(O)c(C(C)(C)C)c1, logP: 2.0, SAScore: 3.0, MolWeight: N/A
SMILES: Cc1cc(O)c(C(=O)O)cc1C, logP: 2.0, SAScore: 2.0, MolWeight: N/A
SMILES: Cc1cc(C(C)(C)C)c(O)c(C(C)(C)C)c1, logP: 6.0, SAScore: 2.0, MolWeight: N/A
SMILES: COC(=O)[C@H](CSC(=O)/C(=C/c1ccc2c(c1)OCO2)OC(C)=O)NC(=O)OC(C)(C)C, logP: 4.0, SAScore: 4.0, MolWeight: N/A
SMILES: CCOC(=O)[C@@H]1CC(=O)c2sccc2[C@H]1c1cc(C)cc(OC)c1, logP: 4.0, SAScore: 4.0, MolWeight: N/A
SMILES: Cc1cc(C)c(OC(=O)c2cccc([N+](=O)[O-])c2)c(C)c1, logP: 4.0, SAScore: 2.0, MolWeight: N/A
SMILES: Cc1cc(O)c(C(=O)O)cc1Cl, logP: 2.0, SAScore: 2.0, MolWeight: N/A
SMILES: COC(=O)[C@H](Cc1c[nH]c2ccccc12)NC1=C(C)C(=O)C(O)=C([C@H](C)CCC=C(C)C)C1=O, logP: 4.0, SAScore: 4.0, MolWeight: N/A
SMILES: Cc1ccc(C(=O)/C=C/c2ccc(C(C)C)cc2O)cc1, logP: 6.0, SAScore: 2.0, MolWeight: N/A
SMILES: C=CC(C)(C)c1[nH]c2c(CC=C(C)C)cc(C)c(O)c2c1/C=C1\NC(=O)C(C)(O)NC1=O, logP: 4.0, SAScore: 4.0, MolWeight: N/A
SMILES: Cc1cc(C)c(OC(=O)CCc2ccccc2)c(C)c1, logP: 4.0, SAScore: 2.0, MolWeight: N/A
SMILES: C/C(=C/Cc1c(O)cc(C(=O)/C=C/c2ccc(O)cc2)cc1O)CO, logP: 4.0, SAScore: 3.0, MolWeight: N/A
SMILES: CCOC(=O)[C@H](CCSC)NC1=C(C)C(=O)C(O)=C([C@H](C)CCC=C(C)C)C1=O, logP: 4.0, SAScore: 4.0, MolWeight: N/A
SMILES: COC(=O)[C@H](CSCc1ccccc1)NC(=O)CCCC[C@@H]1CCSS1, logP: 4.0, SAScore: 4.0, MolWeight: N/A
SMILES: CCCCCC(c1c(C)cc(Oc2cc(C)cc(O)c2)cc1O)c1c(O)cc2c(c1O)C(=O)c1c(O)cc(O)cc1C2=O, logP: 6.0, SAScore: 4.0, MolWeight: N/A
SMILES: COC(=O)CCC(c1c(C)cc(Oc2cc(C)cc(O)c2)cc1O)c1c(O)cc2c(c1O)C(=O)c1c(O)cc(O)cc1C2=O, logP: 6.0, SAScore: 4.0, MolWeight: N/A
SMILES: C/C(=C\CC/C(C)=C/CCC1(C)CCc2cc(O)cc(C)c2O1)CO, logP: 6.0, SAScore: 3.0, MolWeight: N/A
