SMILES: O=C(O)C(=O)O, logP: -2.0, SAScore: 2.0, MolWeight: 4.0
SMILES: OCCO, logP: -2.0, SAScore: 3.0, MolWeight: 3.0
SMILES: O=C(O)CO, logP: -2.0, SAScore: 2.0, MolWeight: 4.0
SMILES: OCCO, logP: 0.0, SAScore: 3.0, MolWeight: 3.0
SMILES: C=CCC, logP: 2.0, SAScore: 3.0, MolWeight: 3.0
SMILES: OCCO, logP: -2.0, SAScore: 3.0, MolWeight: 4.0
SMILES: CCO, logP: 0.0, SAScore: 2.0, MolWeight: 4.0
SMILES: NC(N)=O, logP: -2.0, SAScore: 2.0, MolWeight: 4.0
SMILES: CSC, logP: 2.0, SAScore: 3.0, MolWeight: 3.0
SMILES: C=O, logP: 0.0, SAScore: 3.0, MolWeight: 4.0
SMILES: CCO, logP: 0.0, SAScore: 2.0, MolWeight: 4.0
SMILES: CO, logP: 0.0, SAScore: 2.0, MolWeight: 3.0
SMILES: OCCO, logP: -2.0, SAScore: 3.0, MolWeight: 4.0
SMILES: CO, logP: 0.0, SAScore: 3.0, MolWeight: 3.0
SMILES: CCCC, logP: 2.0, SAScore: 2.0, MolWeight: 3.0
SMILES: C=CCO, logP: 0.0, SAScore: 3.0, MolWeight: 4.0
SMILES: CCCO, logP: 0.0, SAScore: 2.0, MolWeight: 4.0
SMILES: CC(N)=O, logP: 0.0, SAScore: 2.0, MolWeight: 3.0
SMILES: CC(C)O, logP: 0.0, SAScore: 3.0, MolWeight: 3.0
SMILES: C=O, logP: 0.0, SAScore: 3.0, MolWeight: 3.0
SMILES: CCCC, logP: 2.0, SAScore: 2.0, MolWeight: 3.0
SMILES: CC(C)(C)C#N, logP: 2.0, SAScore: 3.0, MolWeight: 4.0
SMILES: CCCC, logP: 2.0, SAScore: 2.0, MolWeight: 4.0
SMILES: CCO, logP: 0.0, SAScore: 2.0, MolWeight: 3.0
SMILES: CO, logP: 0.0, SAScore: 3.0, MolWeight: 3.0
SMILES: CC(=O)O, logP: 0.0, SAScore: 2.0, MolWeight: 3.0
