SMILES	 logP	 SAScore
 C=CC(=O)OCC(C)C	2	2
 COc1c2c(cc(O)c1-c1cc3ccc(O)cc3o1)OCO2	2	3
 OCC1(CCc2ccc(Cl)cc2)CCCN(Cc2ccc(F)cc2)C1	4	3
 COc1cccc(-c2nc(-c3ccccc3)c3cc(C)ccc3n2)c1	6	2
 Cc1c(S(=O)(=O)N2CCC(CC3CCCCC3)(c3ccccn3)CC2)c(=O)n(C)c(=O)n1C	2	3
 O=C1[C@@H](Oc2ccc(Cl)cc2)[C@@H](c2cccc([N+](=O)[O-])c2)N1c1ccc(Nc2nc(N3CCOCC3)nc(N3CCOCC3)n2)cc1	4	4
 COc1ccc2ccc(=O)oc2c1C/C=C(\C)COC(=O)C=C(C)CCC=C(C)C	6	3
 COc1cc(/C=C/C(=O)c2c(C)[n+]([O-])c3ccccc3[n+]2[O-])ccc1O	2	3
 Cc1nnc(NC(=O)c2ccc(Br)cc2)[nH]c1=O	2	2
 O=C(Nc1ccc(F)c(Cl)c1)Nc1nc(-c2cc3ccccc3o2)cs1	6	2
 COc1cc(C2Oc3cc([C@H]4Oc5cc(O)cc(O)c5C(=O)[C@@H]4O)ccc3OC2COC(=O)/C=C/c2ccc(F)cc2)ccc1O	4	4
 CCOC(=O)C1=C(N)Oc2c(c(C)nn2C(=O)c2ccncc2)C1c1c(-c2ccccc2)[nH]c2ccccc12	4	4
 COc1ccc(CC(=O)c2c[nH]c3ccc(OCC(=O)N4CCCCC4)cc23)cc1	4	2
 Cc1ccc(C)c(C=NNC(=O)CN2CCN(c3ccccn3)CC2)c1	2	2
 COc1ccc(N(CC(=O)NCC2CCCO2)C(=O)CN2C(=O)C(=Cc3ccc4c(c3)OCO4)SC2=NC=Nc2ccccc2)cc1OC	4	4
 CC(C)(C)c1ccc(C(=O)Nc2cccc(C(=O)Nc3nc(C(C)(C)C)cs3)c2)cc1	6	2
 CC(=O)OC1(C(C)=O)CCC2C3CC(C)C4=CC(=O)CCC4(C)C3CCC21C	4	4
 O=C(COc1ccc2oc(=O)ccc2c1)Nc1ccc2ccccc2c1	4	2
 COc1ccccc1C1C(C#N)=C(N)OC(c2c[nH]c3ccccc23)=C1C#N	4	3
 CCOc1ccc(C2C3C(=O)N(Cc4ccccc4)C(=O)C3C3(CC(C)C)C(=O)N(c4cccc(F)c4)C(=O)N23)cc1	4	4
 COc1cc([C@H](O)[C@@H](CO)Oc2c(OC)cc([C@@H]3OC[C@@H]4[C@H]3CO[C@H]4c3cc(OC)c(O[C@H](CO)[C@@H](O)c4ccc(O)c(OC)c4)c(OC)c3)cc2OC)ccc1O	4	4
 CCCCCC(CCCCCCCC(=O)OC)NC(=O)C1OC1C(=O)OCC(CC)CCCC	6	4
 COC(=O)[C@]12Cc3c([nH]c4ccccc34)[C@@H](c3ccc(OC)cc3)N1[C@@H]1c3c(ccc4ccccc34)OC[C@@H]1C2	6	4
 COc1cc(C2CC(c3cc4ccccc4o3)=NN2C(=O)Nc2ccc(Br)cc2)ccc1O	6	3
 O=c1oc2ccccc2c2c1N[C@H](c1ccc([N+](=O)[O-])cc1)[C@H]1CCCO[C@@H]21	4	3
 COc1cc(OC)cc(-n2c(-c3ccccc3)nc(C)c2C)c1	4	2
 CCC(C)C(=O)OC(c1ccc(C(C)C)cc1)C(NC(=O)c1cccs1)C(=O)O	4	4
 COc1ccc(C2CC=C(C(C)=O)CN2S(=O)(=O)c2ccc(C)cc2)cc1OC	4	3
 CCCN1CCc2cc3oc(=O)n(C)c3cc2C1c1cccc(OC(=O)c2ccccc2)c1	6	4
 COC(=O)[C@H](Cc1c[nH]c2ccccc12)NC1=C(C)C(=O)C(O)=C([C@H](C)CCC=C(C)C)C1=O	4	4
 CCc1ccc(S(=O)(=O)N2CCN(c3ncccn3)CC2)cc1	2	2
 CCc1cccc(C)c1N(C(=O)CCl)C(C)COC	4	3
 NC(=O)CC(NC(=O)Cc1ccc(Br)cc1)c1ccc(NC2CCCCC2)c([N+](=O)[O-])c1	6	3
 CCOP(=S)(OCC)Oc1cc(C)nc(C(C)C)n1	4	3
 CCCCCCCCCCCC(=O)OC[C@H](O)[C@H]1OC(O)=C(O[C@@H]2OC(CO)[C@@H](O)C(O)[C@@H]2O)C1=O	2	4
 COc1ccc(C2C3=C(CCCC3=O)Nc3ccc4ncccc4c32)cc1OCc1coc(C)c1	6	3
 CC(=O)OC[C@@H](OC(C)=O)[C@@H](OC(C)=O)[C@H](/C=N/Nc1nc2nc3c(c(-c4ccc(Cl)cc4)c2c(=O)n1OC(C)=O)CCC/C3=C\c1ccc(Cl)cc1)OC(C)=O	6	4
 O=C(O)c1ccc(Br)cc1NC(=O)C(c1ccccc1)c1ccccc1	6	2
 COc1ccccc1-c1nc(-c2ccccc2)ncc1OC	4	2
 O=C(O)CC(=O)N1CCc2ccccc2C1CN1C(=O)c2ccccc2C1=O	2	3
 COc1ccc(CNC(=O)C2C3CCC(O3)C2C(=O)O)cc1	2	4
 COc1ccc(O)cc1OC	2	4
 COc1ccc(S(=O)(=O)N2C(=O)NC3(CCCc4ccccc43)C2=O)cc1	2	4
 CC(C)(C)c1cc(CCNC(=O)CC2Cc3cccc(O)c3C(=O)c3c(O)cccc32)cc(C(C)(C)C)c1O	6	3
 CC(C)(C)/[N+]([O-])=C/c1cccnc1Cl	2	3
 O=[N+]([O-])c1ccccc1-c1nnc(C=Cc2ccccc2)o1	4	2
 C=C1CC2C3C=C(C)C(=O)C(=O)C3CCC2(C)C1(OC(C)=O)C(C)=O	2	4
 C[C@H](O)[C@H]1[C@H](OCCOCCO)C[C@H]2[C@@H]3CC=C4C[C@@H](O)CC[C@]4(C)[C@H]3CC[C@]12C	2	4
 COc1cc(C2CC(c3cc4ccccc4o3)=NN2C(=O)Nc2ccc(Br)cc2)ccc1O	6	3
 CCOC(=O)c1sc2ccccc2c1Nc1ccc(OC)cc1OC	4	2
 Cc1ccc(-c2nsc(-c3ccc(C)cc3)n2)cc1	6	2
 CC(OC(=O)C1=C2CCCC(=O)N2CCC1)c1ccc(S(N)(=O)=O)cc1	2	3
 Cc1ccccc1CC(=O)Nc1ccc2c(c1)C(=O)NC2=O	2	2
 COc1ccc(-c2c(C)c3cc(Cl)ccc3oc2=S)cc1OC	6	2
 Cc1c(F)c(F)c(COC(=O)C2C(C=C(Cl)C(F)(F)F)C2(C)C)c(F)c1F	6	3
 Cc1c(C)c2c(c(C)c1O)CCC(C)(C(=O)NCCCCCNc1c3c(nc4ccccc14)CCCC3)O2	4	4
 COC12c3ccccc3CCC1C(C)(C(=O)NS(=O)(=O)c1ccc(C)cc1)CC2C(=O)N1CCCC1	4	4
 Nc1ccc(C(=NO)c2ccncc2)cc1	2	2
 CC1(C)C(C=C(Cl)Cl)C1C(=O)OCc1cccc(Oc2ccccc2)c1	6	3
 COc1cc(/C=C/C(=O)c2ccc3c(c2)OCO3)ccc1OCc1ccccc1	4	2
 CC(=O)c1ccccc1OCCCOc1cccc2cccnc12	4	2
 FC(F)(F)c1ccc(Cl)c(Cl)c1	4	2
 O=C(CN1C(=O)c2ccc([N+](=O)[O-])cc2C1=O)NCc1cccs1	2	2
 CCC1(c2ccc(N3CCN(C)CC3)cc2)CCC(=O)NC1=O	2	3
 CCCCCCCCCCCCCCCCSCC(=O)O	6	2
 COc1ccc(C(N)=O)c2[nH]c3ccccc3c(=O)c12	2	2
 CC(=O)N1C(C)C=CC1(Cc1ccccc1)C(=O)NCCNC(=O)c1cccc2nsnc12	2	4
 COc1cc(OC)c(C2=CCN(C)CC2)c(OC)c1/C=C/C(=O)c1ccc[nH]1	4	3
 O=C(NC(CS)C(=O)N(C(=O)NC1CCCCC1)C1CCCCC1)/C(=C\c1ccc(F)cc1)NC(=O)c1ccccc1	6	3
 CC(C)=CCC/C(C)=C/CC/C(C)=C\C(=O)C/C(C)=C/Cc1cc(O)cc(C)c1O	6	3
 CC1CCCC(NC(=O)Cn2cc(C(=O)NCc3ccccn3)ccc2=O)C1C	2	3
 COc1ccc(C(=O)C(COC(=O)c2ccc(O)cc2)Oc2c(OC)cc(/C=C/COC(=O)c3ccc(O)cc3)cc2OC)c(OC)c1O	4	3
 CCCCCCCC(=O)NCC(C)(C)/[N+]([O-])=C/c1ccc(C(=O)NCC(=O)NC(CO)(CO)CO)cc1	2	4
 CC1(C)C=C(CSc2nc3c(C(N)=O)cccc3[nH]2)C(C)(C)N1O	4	3
 CCCS(=O)(=O)N1CCCC(C(=O)Nc2sc(C)c(C)c2C(N)=O)C1	2	3
 COc1ccc(C2=Cc3n[nH]c(O)c3C(c3ccc(OC)c(OC)c3)C2)cc1	4	3
